지점,지점명,시간(UTC),월평균 기온,일평균 기온의 월표준편차,월평균 일최고기온,월평균 일최저기온
1384,오슬로,2008-03-31 00:00,0,903.6,2.7,
1384,오슬로,2008-05-31 00:00,10.8,4.1,16.9,4.4
1384,오슬로,2008-06-30 00:00,14.6,4,20.2,8.9
1384,오슬로,2008-08-31 00:00,13.9,1.6,18.4,10.7
1384,오슬로,2008-09-30 00:00,9.4,2.3,13.5,6.5
1384,오슬로,2008-10-31 00:00,5.7,3.3,9.3,2.3
1384,오슬로,2008-11-30 00:00,.4,2.6,3.1,
1384,오슬로,2008-12-31 00:00,,3.9,,
1384,오슬로,2009-01-31 00:00,-4,4.7,-1.6,-6.5
1384,오슬로,2009-02-28 00:00,-7.6,3.9,-4.6,-10.6
1384,오슬로,2009-03-31 00:00,-.4,2.1,3.1,-3.5
1384,오슬로,2009-04-30 00:00,6.4,3,12.1,1.3
1384,오슬로,2009-05-31 00:00,10.8,2.9,16.5,5.2
1384,오슬로,2009-06-30 00:00,14.3,5,19.7,8.4
1384,오슬로,2009-07-31 00:00,15.9,3,20.5,12.2
1384,오슬로,2009-08-31 00:00,14.7,2.1,19.5,10.8
1384,오슬로,2009-09-30 00:00,11.4,2.8,16.6,6.9
1384,오슬로,2009-10-31 00:00,2.4,2.4,6.3,-1
1384,오슬로,2009-11-30 00:00,2.2,2.7,4.1,.4
1384,오슬로,2009-12-31 00:00,-5.9,5.8,-3.9,-8.5
1384,오슬로,2010-01-31 00:00,-10.7,5.1,-8.3,-13.5
1384,오슬로,2010-02-28 00:00,-9.8,4.6,-6.5,-13.5
1384,오슬로,2010-03-31 00:00,-2.1,4,2.4,-6.5
1384,오슬로,2010-04-30 00:00,4.2,2.4,9.3,-.8
1384,오슬로,2010-05-31 00:00,13.9,2,19.6,8.7
1384,오슬로,2010-06-30 00:00,13.9,2,19.6,8.7
1384,오슬로,2010-07-31 00:00,16.8,1.7,21.5,12.8
1384,오슬로,2010-08-31 00:00,14.8,2.8,18.9,11.3
1384,오슬로,2010-09-30 00:00,9.3,2.8,14.5,5.4
1384,오슬로,2010-10-31 00:00,4.1,3.8,7.9,.8
1384,오슬로,2010-11-30 00:00,-4.2,4.9,-1.5,-6.4
