일,검색량,최저기온
1,22.05948,21.4
2,22.55317,23.6
3,9.77496,19.6
4,5.83782,19.8
5,6.54543,20.1
6,7.94009,21
7,12.95511,23.9
8,13.67507,23.8
9,11.65096,23.6
10,14.85991,23.1
11,32.42275,24.1
12,79.13769,23.8
13,100,26.3
14,78.12564,26.1
15,55.58481,25.9
16,25.50705,24.2
17,18.93693,24.7
18,22.98926,25.7
19,24.03011,24
20,26.37511,23.6
21,36.32286,25.3
22,37.9726,26.5
23,32.86707,27.2
24,30.74423,26.9
25,30.37808,27.2
26,30.43979,27.4
27,28.28814,27.8
28,25.81972,27.1
29,23.31427,27
30,18.82173,25.8
31,17.83848,26.8
