url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_e8ca5ddd2a494a10c567a4ef09a74421
주제,통검
범위,합계
기간,일간 : 2022-07-01 ~ 2022-07-31
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2022-07-01,36.63492
2022-07-02,59.83279
2022-07-03,86.28058
2022-07-04,100.0
2022-07-05,75.34049
2022-07-06,68.23164
2022-07-07,54.3406
2022-07-08,29.86933
2022-07-09,21.88572
2022-07-10,27.99247
2022-07-11,24.69826
2022-07-12,21.11615
2022-07-13,16.41014
2022-07-14,15.61288
2022-07-15,17.19078
2022-07-16,14.52773
2022-07-17,16.62606
2022-07-18,18.97353
2022-07-19,20.18048
2022-07-20,18.83512
2022-07-21,13.52563
2022-07-22,13.54224
2022-07-23,12.60104
2022-07-24,14.83778
2022-07-25,30.71088
2022-07-26,48.00132
2022-07-27,44.3251
2022-07-28,42.80256
2022-07-29,63.2488
2022-07-30,55.27627
2022-07-31,32.46595
