url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_69125f9ab072e1a6ec3e11d3e0d14584
주제,통검
범위,합계
기간,일간 : 2023-06-01 ~ 2023-06-30
성별,"전체(여성,남성)"
연령대,전체
날짜,불면증
2023-06-01,13.42271
2023-06-02,14.14525
2023-06-03,12.92364
2023-06-04,13.73556
2023-06-05,13.68342
2023-06-06,12.33519
2023-06-07,14.65176
2023-06-08,13.15456
2023-06-09,13.06517
2023-06-10,11.28491
2023-06-11,14.67411
2023-06-12,15.70949
2023-06-13,13.94413
2023-06-14,13.27374
2023-06-15,12.46182
2023-06-16,16.43202
2023-06-17,22.56983
2023-06-18,57.43761
2023-06-19,100
2023-06-20,40.84916
2023-06-21,12.79702
2023-06-22,12.55865
2023-06-23,16.2607
2023-06-24,29.86219
2023-06-25,51.9851
2023-06-26,31.13594
2023-06-27,25.57169
2023-06-28,30.85288
2023-06-29,31.00186
2023-06-30,21.64618
